Id,SalePrice
1461,114500
1462,139200
1463,152900
1464,171700
1465,199200
1466,159500
1467,156500
1468,153900
1469,179000
1470,107200
1471,181200
1472,101100
1473,99100
1474,149000
1475,124800
1476,331800
1477,251200
1478,274200
1479,269500
1480,429700
1481,296400
1482,218700
1483,161000
1484,165500
1485,170100
1486,182700
1487,295900
1488,237900
1489,194800
1490,202300
1491,174000
1492,113800
1493,159500
1494,283700
1495,278700
1496,215600
1497,187700
1498,164600
1499,172500
1500,163600
1501,175900
1502,159700
1503,248100
1504,234300
1505,218800
1506,193600
1507,230500
1508,191100
1509,147600
1510,133300
1511,133700
1512,161200
1513,135500
1514,146400
1515,178300
1516,143300
1517,140300
1518,150000
1519,186800
1520,122400
1521,116500
1522,172800
1523,105300
1524,109800
1525,109500
1526,107600
1527,108000
1528,123700
1529,130700
1530,151700
1531,119000
1532,103500
1533,137200
1534,111100
1535,128000
1536,107800
1537,80200
1538,137200
1539,180500
1540,115200
1541,131900
1542,128600
1543,161500
1544,93900
1545,104400
1546,138400
1547,127200
1548,120200
1549,106300
1550,129000
1551,121100
1552,133200
1553,123800
1554,115300
1555,175900
1556,112600
1557,118200
1558,110800
1559,105500
1560,145000
1561,142100
1562,118300
1563,110700
1564,142400
1565,134100
1566,200700
1567,91100
1568,209400
1569,114300
1570,133500
1571,113600
1572,117100
1573,190000
1574,130400
1575,192400
1576,197400
1577,176600
1578,138500
1579,132000
1580,187700
1581,136000
1582,124300
1583,275400
1584,216000
1585,140300
1586,73100
1587,98000
1588,118100
1589,94900
1590,125300
1591,94500
1592,119800
1593,121400
1594,125800
1595,131500
1596,218000
1597,181400
1598,185400
1599,156300
1600,164700
1601,65200
1602,106000
1603,87700
1604,237400
1605,222400
1606,157100
1607,201500
1608,213400
1609,194500
1610,145600
1611,139300
1612,158700
1613,157800
1614,113400
1615,88300
1616,88300
1617,89400
1618,114500
1619,119100
1620,199900
1621,125000
1622,127500
1623,242200
1624,192500
1625,117300
1626,163400
1627,167600
1628,226200
1629,163000
1630,313000
1631,214600
1632,239700
1633,154400
1634,171600
1635,165500
1636,160100
1637,178100
1638,180900
1639,174000
1640,217300
1641,174900
1642,228200
1643,227100
1644,221100
1645,177100
1646,162800
1647,155500
1648,124700
1649,128000
1650,102200
1651,105800
1652,105900
1653,106400
1654,147100
1655,146600
1656,145000
1657,150500
1658,145000
1659,123600
1660,134200
1661,405600
1662,354900
1663,323300
1664,444700
1665,281600
1666,291100
1667,293200
1668,301800
1669,269400
1670,301300
1671,251300
1672,388900
1673,283500
1674,243600
1675,194100
1676,203400
1677,215800
1678,379000
1679,322200
1680,315600
1681,245600
1682,267000
1683,208900
1684,171100
1685,161500
1686,173800
1687,161200
1688,180300
1689,178600
1690,182500
1691,173900
1692,221500
1693,156200
1694,166900
1695,159800
