Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceBand,HasPorch,Remodelled,PropertyAge,TotalBath,HasPool,HasDeck,TotalArea,IsNew,IsPartial
1,60,RL,65.0,8450,Reg,Inside,CollgCr,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,No,GLQ,706,0,150,856,5,Y,856,854,1710,3,1,3,4,8,0,None,2,2,3,WD,Normal,208500,7,1,1,5,4,0,0,4276,0,0
2,20,RL,80.0,9600,Reg,FR2,Veenker,1Fam,1Story,6,8,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,Gd,ALQ,978,0,284,1262,5,Y,1262,0,1262,2,1,3,3,6,1,3,2,5,2,WD,Normal,181500,6,0,1,31,3,0,1,3786,0,0
3,60,RL,68.0,11250,IR1,Inside,CollgCr,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,Mn,GLQ,486,0,434,920,5,Y,920,866,1786,3,1,3,4,6,1,3,2,9,3,WD,Normal,223500,7,1,0,7,4,0,0,4492,0,0
4,70,RL,60.0,9550,IR1,Corner,Crawfor,1Fam,2Story,7,5,Gable,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,No,ALQ,216,0,540,756,4,Y,961,756,1717,2,0,3,4,7,1,4,3,2,1,WD,Abnorml,140000,3,1,0,91,2,0,0,4190,0,0
5,60,RL,84.0,14260,IR1,FR2,NoRidge,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,Av,GLQ,655,0,490,1145,5,Y,1145,1053,2198,3,1,4,4,9,1,3,3,12,3,WD,Normal,250000,8,1,1,8,4,0,1,5541,0,0
6,50,RL,85.0,14115,IR1,Inside,Mitchel,1Fam,1.5Fin,5,5,Gable,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,No,GLQ,732,0,64,796,5,Y,796,566,1362,2,1,1,3,5,0,None,2,10,4,WD,Normal,143000,3,1,0,16,3,0,1,3520,0,0
7,20,RL,75.0,10084,Reg,Inside,Somerst,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,Av,GLQ,1369,0,317,1686,5,Y,1694,0,1694,3,0,3,4,7,1,4,2,8,2,WD,Normal,307000,9,1,0,3,3,0,1,5074,0,0
8,60,RL,MasVnrArea,10382,IR1,Corner,NWAmes,1Fam,2Story,7,6,Gable,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,Mn,ALQ,859,32,216,1107,5,Y,1107,983,2090,3,1,3,3,7,2,3,2,11,4,WD,Normal,200000,7,1,1,36,4,0,1,5287,0,0
9,50,RM,51.0,6120,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,Gable,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,952,952,4,Y,1022,752,1774,2,0,2,3,8,2,3,2,4,3,WD,Abnorml,129900,2,0,0,77,2,0,1,4500,0,0
10,190,RL,50.0,7420,Reg,Corner,BrkSide,2fmCon,1.5Unf,5,6,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,GLQ,851,0,140,991,5,Y,1077,0,1077,2,0,2,3,5,2,3,1,1,3,WD,Normal,118000,1,1,0,69,2,0,0,3145,0,0
