Id,OverallQual,PropertyAge,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotalArea,FullBath,HalfBath,TotalBath,TotRmsAbvGrd,BedroomAbvGr,Neighborhood,MSZoning,BldgType,Remodelled,IsNew,IsPartial,SalePrice
1,7,5,856,856,854,1710,4276,3,1,4,8,3,CollgCr,RL,1Fam,1,0,0,208500
2,6,31,1262,1262,0,1262,3786,2,1,3,6,3,Veenker,RL,1Fam,1,0,0,181500
3,7,7,920,920,866,1786,4492,3,1,4,6,3,CollgCr,RL,1Fam,0,0,0,223500
4,7,91,756,961,756,1717,4190,2,0,2,7,3,Crawfor,RL,1Fam,0,0,0,140000
5,8,8,1145,1145,1053,2198,5541,3,1,4,9,4,NoRidge,RL,1Fam,1,0,0,250000
6,5,16,796,796,566,1362,3520,2,1,3,5,1,Mitchel,RL,1Fam,0,0,0,143000
7,8,3,1686,1694,0,1694,5074,3,0,3,7,3,Somerst,RL,1Fam,0,0,0,307000
8,7,36,1107,1107,983,2090,5287,3,1,4,7,3,NWAmes,RL,1Fam,1,0,0,200000
9,7,77,952,1022,752,1774,4500,2,0,2,8,2,OldTown,RM,1Fam,0,0,0,129900
10,5,69,991,1077,0,1077,3145,2,0,2,5,2,BrkSide,RL,2fmCon,0,0,0,118000
11,5,43,1040,1040,0,1040,3120,2,0,2,5,3,Sawyer,RL,1Fam,1,0,0,129500
12,9,1,1175,1182,1142,2324,5823,4,0,4,11,4,NridgHt,RL,1Fam,0,0,1,345000
13,5,46,912,912,0,912,2736,2,0,2,4,2,Sawyer,RL,1Fam,1,0,0,144000
14,7,1,1494,1494,0,1494,4482,2,0,2,7,3,CollgCr,RL,1Fam,0,0,1,279500
15,6,48,1253,1253,0,1253,3759,2,1,3,5,2,NAmes,RL,1Fam,1,0,0,157000
16,7,78,832,854,0,854,2540,1,0,1,5,2,BrkSide,RM,1Fam,0,0,0,132000
17,6,40,1004,1004,0,1004,3012,2,0,2,5,2,NAmes,RL,1Fam,1,0,0,149000
18,4,39,0,1296,0,1296,2592,2,0,2,6,2,Sawyer,RL,Duplex,1,0,0,90000
19,5,4,1114,1114,0,1114,3342,2,1,3,6,3,SawyerW,RL,1Fam,1,0,0,159000
20,5,51,1029,1339,0,1339,3707,1,0,1,6,3,NAmes,RL,1Fam,0,0,0,139000
21,8,1,1158,1158,1218,2376,5910,3,1,4,9,4,NridgHt,RL,1Fam,0,0,1,325300
22,7,77,637,1108,0,1108,2853,1,0,1,6,3,IDOTRR,RM,1Fam,0,0,0,139400
23,8,6,1777,1795,0,1795,5367,2,0,2,7,3,CollgCr,RL,1Fam,1,0,0,230000
24,5,31,1040,1060,0,1060,3160,2,0,2,6,3,MeadowV,RM,TwnhsE,1,0,0,129900
25,5,42,1060,1060,0,1060,3180,2,0,2,6,3,Sawyer,RL,1Fam,0,0,0,154000
26,8,2,1566,1600,0,1600,4766,2,0,2,7,3,NridgHt,RL,1Fam,1,0,0,256300
27,5,59,900,900,0,900,2700,1,1,2,5,3,NAmes,RL,1Fam,0,0,0,134800
28,8,3,1704,1704,0,1704,5112,3,0,3,7,3,NridgHt,RL,1Fam,0,0,0,306000
29,5,49,1484,1600,0,1600,4684,2,0,2,6,2,NAmes,RL,1Fam,0,0,0,207500
30,4,81,520,520,0,520,1560,1,0,1,4,1,BrkSide,RM,1Fam,0,0,0,68500
31,4,88,649,649,668,1317,3283,1,0,1,6,3,IDOTRR,C (all),1Fam,0,0,0,40000
32,5,42,1228,1228,0,1228,3684,1,1,2,6,3,Sawyer,RL,1Fam,0,0,0,149350
33,8,1,1234,1234,0,1234,3702,2,0,2,7,3,CollgCr,RL,1Fam,1,0,0,179900
