Id,SalePrice,OverallQual,ExterQual,ExterCond,OverallCond,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,LotArea,BsmtFullBath,BsmtHalfBath,YearBuilt,FullBath,HalfBath,TotRmsAbvGrd,BedroomAbvGr,KitchenAbvGr,HeatingQC,GarageCars,OpenPorchSF,YearRemodAdd,YrSold,PoolArea,WoodDeckSF,MasVnrArea,KitchenQual,Fireplaces,GarageArea,Neighborhood,MSZoning,BldgType,Functional,MSSubClass,Condition1,LotConfig,MasVnrType,SaleType,SaleCondition,Foundation,HouseStyle,Stories,HasPorch,IsRemodelled,PropertyAge,TotalBath,HasPool,HasDeck,OverallGrade,ExterGrade,TotalArea,CoreArea,Neighborhood_label,MSZoning_label,BldgType_label,Functional_label,MSSubClass_label,Condition1_label,LotConfig_label,MasVnrType_label,SaleType_label,SaleCondition_label,Foundation_label
1,208500,7,4,3,5,856,856,854,1710,8450,1,0,2003,3,1,8,3,1,5,2,61,2003,3,0,0,196.0,4,0,548,CollgCr,RL,1Fam,Typ,60,Norm,Inside,BrkFace,Deed,Normal,PConc,2Story,2,1,1,5,3.5,0,0,35,12,4276,2566,5,3,0,6,9,2,4,1,2,1,3
2,181500,6,3,3,8,1262,1262,0,1262,9600,0,1,1976,2,1,6,3,1,5,2,0,1976,2,0,298,0.0,3,1,460,Veenker,RL,1Fam,Typ,20,Feedr,FR2,None,Deed,Normal,CBlock,1Story,1,0,1,31,2.5,0,1,48,9,3786,2524,24,3,0,6,4,1,2,2,2,1,1
3,223500,7,4,3,5,920,920,866,1786,11250,1,0,2001,3,1,6,3,1,5,2,42,2002,3,0,0,162.0,4,1,608,CollgCr,RL,1Fam,Typ,60,Norm,Inside,BrkFace,Deed,Normal,PConc,2Story,2,1,0,7,3.5,0,0,35,12,4492,2706,5,3,0,6,9,2,4,1,2,1,3
4,140000,7,3,3,5,756,961,756,1717,9550,1,0,1915,2,0,7,3,1,4,3,35,1970,1,0,0,0.0,4,1,642,Crawfor,RL,1Fam,Typ,70,Norm,Corner,None,Deed,Abnorml,BrkTil,2Story,2,1,0,91,2.0,0,0,35,9,4190,2473,6,3,0,6,10,2,0,2,2,0,0
5,250000,8,4,3,5,1145,1145,1053,2198,14260,1,0,2000,3,1,9,4,1,5,3,84,2000,3,0,192,350.0,4,1,836,NoRidge,RL,1Fam,Typ,60,Norm,FR2,BrkFace,Deed,Normal,PConc,2Story,2,1,1,8,3.5,0,1,40,12,5541,3343,15,3,0,6,9,2,2,1,2,1,3
6,143000,5,3,3,5,796,796,566,1362,14115,1,0,1993,2,1,5,1,1,5,2,30,1995,4,0,40,0.0,3,0,480,Mitchel,RL,1Fam,Typ,50,Norm,Inside,None,Deed,Normal,Other,1.5Fin,1,1,0,16,2.5,0,1,25,9,3520,2158,11,3,0,6,8,2,4,2,2,1,2
7,307000,8,4,3,5,1686,1694,0,1694,10084,1,0,2004,3,0,7,3,1,5,2,57,2005,2,0,255,186.0,4,1,636,Somerst,RL,1Fam,Typ,20,Norm,Inside,BrkFace,Deed,Normal,PConc,1Story,1,1,0,3,3.0,0,1,40,12,5074,3380,21,3,0,6,4,2,4,1,2,1,3
8,200000,7,3,3,6,1107,1107,983,2090,10382,1,0,1973,3,1,7,3,1,5,2,204,1973,4,0,235,240.0,3,2,484,NWAmes,RL,1Fam,Typ,60,PosN,Corner,BrkFace,Deed,Normal,CBlock,2Story,2,1,1,36,3.5,0,1,42,9,5287,3197,14,3,0,6,9,4,0,1,2,1,1
9,129900,7,3,3,5,952,1022,752,1774,6120,0,0,1931,2,0,8,2,2,4,2,0,1950,3,0,90,0.0,3,2,468,OldTown,RM,1Fam,Min1,50,Artery,Inside,None,Deed,Abnorml,BrkTil,1.5Fin,1,0,0,77,2.0,0,1,35,9,4500,2726,17,4,0,2,8,0,4,2,2,0,0
10,118000,5,3,3,6,991,1077,0,1077,7420,1,0,1939,2,0,5,2,2,5,1,4,1950,3,0,0,0.0,3,2,205,BrkSide,RL,2fmCon,Typ,190,Artery,Corner,None,Deed,Normal,BrkTil,1.5Unf,1,1,0,69,2.0,0,0,30,9,3145,2068,3,3,1,6,3,0,0,2,2,1,0
