OverallQual,TotalArea,GarageCars,PropertyAge,MSSubClass,MSZoning,Neighborhood,HasPorch,HasDeck,LotConfig,HouseStyle,SaleType,SaleCondition,SalePrice
7,4276,2,5,60,RL,1,1,0,Inside,2Story,WD,Normal,208500
6,3786,2,31,20,RL,2,0,1,FR2,1Story,WD,Normal,181500
7,4492,2,7,60,RL,1,1,0,Inside,2Story,WD,Normal,223500
7,4190,3,91,70,RL,3,1,0,Corner,2Story,WD,Abnorml,140000
8,5541,3,8,60,RL,4,1,1,FR2,2Story,WD,Normal,250000
5,3520,2,16,50,RL,5,1,1,Inside,1.5Fin,WD,Normal,143000
8,5074,2,3,20,RL,6,1,1,Inside,1Story,WD,Normal,307000
7,5287,2,36,60,RL,7,1,1,Corner,2Story,WD,Normal,200000
7,4500,2,77,50,RM,8,1,1,Inside,1.5Fin,WD,Abnorml,129900
5,3145,1,69,190,RL,9,1,0,Corner,1.5Unf,WD,Normal,118000
5,3120,1,43,20,RL,10,0,0,Inside,1Story,WD,Normal,129500
9,5823,3,1,60,RL,11,1,1,Inside,2Story,New,Partial,345000
5,2736,1,46,20,RL,10,1,1,Inside,1Story,WD,Normal,144000
7,4482,3,1,20,RL,1,1,1,Inside,1Story,New,Partial,279500
6,3759,1,48,20,RL,12,1,0,Corner,1Story,WD,Normal,157000
7,2540,2,78,45,RM,9,1,1,Corner,1.5Unf,WD,Normal,132000
6,3012,2,40,20,RL,12,0,0,CulDSac,1Story,WD,Normal,149000
4,2592,2,39,90,RL,10,0,0,Inside,1Story,WD,Normal,90000
5,3342,2,4,20,RL,13,1,0,Inside,1Story,WD,Normal,159000
5,3707,1,51,20,RL,12,0,0,Inside,1Story,COD,Abnorml,139000
8,5910,3,1,60,RL,11,1,1,Corner,2Story,New,Partial,325300
7,2853,1,77,45,RM,14,1,0,Inside,1.5Unf,WD,Normal,139400
8,5367,2,6,20,RL,1,1,1,Inside,1Story,WD,Normal,230000
5,3160,2,31,120,RM,15,1,1,Inside,1Story,WD,Normal,129900
5,3180,1,42,20,RL,10,1,1,Inside,1Story,WD,Normal,154000
8,4766,3,2,20,RL,11,1,0,Corner,1Story,WD,Normal,256300
5,2700,2,59,20,RL,12,1,1,Corner,1Story,WD,Normal,134800
8,5112,3,3,20,RL,11,1,0,Inside,1Story,WD,Normal,306000
5,4684,1,49,20,RL,12,1,1,CulDSac,1Story,WD,Normal,207500
4,1560,1,81,30,RM,9,1,1,Inside,1Story,WD,Normal,68500
4,3283,1,88,70,C (all),14,1,0,Inside,2Story,WD,Normal,40000
5,3684,1,42,20,RL,10,1,0,CulDSac,1Story,WD,Normal,149350
8,3702,2,1,20,RL,1,1,0,Corner,1Story,WD,Normal,179900
5,4798,2,51,20,RL,12,1,0,Inside,1Story,WD,Normal,165500
9,4683,2,2,120,RL,11,1,1,Inside,1Story,WD,Normal,277500
8,6021,3,2,60,RL,11,1,1,Inside,2Story,WD,Normal,309000
5,3291,2,15,20,RL,1,1,1,Corner,1Story,WD,Normal,145000
5,3891,2,55,20,RL,12,0,0,Inside,1Story,WD,Normal,153000
5,3171,1,57,20,RL,12,1,0,Inside,1Story,WD,Abnorml,109000
4,2304,0,53,90,RL,16,0,0,Inside,1Story,WD,AdjLand,82000
6,3736,2,41,20,RL,12,1,0,Inside,1Story,WD,Abnorml,160000
5,4006,1,48,20,RL,17,1,0,Inside,1Story,WD,Normal,170000
5,2608,2,24,85,RL,13,0,1,CulDSac,SFoyer,WD,Normal,144000
5,2814,1,33,20,RL,1,0,1,CulDSac,1Story,WD,Normal,130250
5,3450,1,47,20,RL,12,0,0,Inside,1Story,WD,Normal,141000
9,5256,2,5,120,RL,11,1,1,Inside,1Story,WD,Normal,319900
7,5732,2,6,50,RL,5,1,1,CulDSac,1.5Fin,WD,Abnorml,239686
8,4968,3,1,20,FV,6,1,0,Inside,1Story,WD,Normal,249700
4,3640,0,89,190,RM,8,1,0,Inside,2Story,New,Partial,113000
5,2865,1,41,20,RL,10,0,0,Inside,1Story,WD,Normal,127000
6,3734,2,10,60,RL,18,1,0,Corner,2Story,WD,Normal,177000
6,2808,2,72,50,RM,9,0,1,Inside,1.5Fin,WD,Normal,114500
5,2448,2,47,90,RM,14,0,1,Corner,1Story,WD,Normal,110000
9,5526,3,25,20,RL,2,1,1,Inside,1Story,WD,Normal,385000
5,3104,2,52,80,RL,12,1,0,Inside,SLvl,WD,Normal,130000
