cv,features,model,performance
5,"['OverallQual', 'TotalArea', 'GarageCars', 'PropertyAge']",Random Forest Regressor,80.27
5,"['OverallQual', 'TotalArea', 'GarageCars', 'PropertyAge']",Ridge Regression,78.32
5,"['OverallQual', 'TotalArea', 'GarageCars', 'PropertyAge']",Lasso Regressor,78.32
5,"['OverallQual', 'TotalArea', 'GarageCars', 'PropertyAge']",Linear Regression,78.32
5,"['OverallQual', 'TotalArea', 'GarageCars', 'PropertyAge']",Decision Tree Regressor,74.62
5,"['OverallQual', 'TotalArea', 'GarageCars', 'PropertyAge']",KNN Regressor,69.56
5,"['OverallQual', 'GarageCars', 'Neighborhood', 'HasPorch', 'HasDeck', 'SalePrice', 'TotalArea_scaled', 'PropertyAge_scaled', 'Neighborhood_1', 'Neighborhood_2', 'Neighborhood_3', 'Neighborhood_4', 'Neighborhood_5', 'Neighborhood_6', 'Neighborhood_7', 'Neighborhood_8', 'Neighborhood_9', 'Neighborhood_10', 'Neighborhood_11', 'Neighborhood_12', 'Neighborhood_13', 'Neighborhood_14', 'Neighborhood_15', 'Neighborhood_16', 'Neighborhood_17', 'Neighborhood_18', 'Neighborhood_19', 'Neighborhood_20', 'Neighborhood_21', 'Neighborhood_22', 'Neighborhood_23', 'Neighborhood_24', 'Neighborhood_25', 'MSSubClass_20', 'MSSubClass_30', 'MSSubClass_40', 'MSSubClass_45', 'MSSubClass_50', 'MSSubClass_60', 'MSSubClass_70', 'MSSubClass_75', 'MSSubClass_80', 'MSSubClass_85', 'MSSubClass_90', 'MSSubClass_120', 'MSSubClass_160', 'MSSubClass_180', 'MSSubClass_190', 'MSZoning_C (all)', 'MSZoning_FV', 'MSZoning_RH', 'MSZoning_RL', 'MSZoning_RM', 'Neighborhood_1.1', 'Neighborhood_2.1', 'Neighborhood_3.1', 'Neighborhood_4.1', 'Neighborhood_5.1', 'Neighborhood_6.1', 'Neighborhood_7.1', 'Neighborhood_8.1', 'Neighborhood_9.1', 'Neighborhood_10.1', 'Neighborhood_11.1', 'Neighborhood_12.1', 'Neighborhood_13.1', 'Neighborhood_14.1', 'Neighborhood_15.1', 'Neighborhood_16.1', 'Neighborhood_17.1', 'Neighborhood_18.1', 'Neighborhood_19.1', 'Neighborhood_20.1', 'Neighborhood_21.1', 'Neighborhood_22.1', 'Neighborhood_23.1', 'Neighborhood_24.1', 'Neighborhood_25.1', 'MSSubClass_20.1', 'MSSubClass_30.1', 'MSSubClass_40.1', 'MSSubClass_45.1', 'MSSubClass_50.1', 'MSSubClass_60.1', 'MSSubClass_70.1', 'MSSubClass_75.1', 'MSSubClass_80.1', 'MSSubClass_85.1', 'MSSubClass_90.1', 'MSSubClass_120.1', 'MSSubClass_160.1', 'MSSubClass_180.1', 'MSSubClass_190.1', 'MSZoning_C (all).1', 'MSZoning_FV.1', 'MSZoning_RH.1', 'MSZoning_RL.1', 'MSZoning_RM.1', 'Neighborhood_1.2', 'Neighborhood_2.2', 'Neighborhood_3.2', 'Neighborhood_4.2', 'Neighborhood_5.2', 'Neighborhood_6.2', 'Neighborhood_7.2', 'Neighborhood_8.2', 'Neighborhood_9.2', 'Neighborhood_10.2', 'Neighborhood_11.2', 'Neighborhood_12.2', 'Neighborhood_13.2', 'Neighborhood_14.2', 'Neighborhood_15.2', 'Neighborhood_16.2', 'Neighborhood_17.2', 'Neighborhood_18.2', 'Neighborhood_19.2', 'Neighborhood_20.2', 'Neighborhood_21.2', 'Neighborhood_22.2', 'Neighborhood_23.2', 'Neighborhood_24.2', 'Neighborhood_25.2', 'LotConfig_Corner', 'LotConfig_CulDSac', 'LotConfig_FR2', 'LotConfig_FR3', 'LotConfig_Inside', 'HouseStyle_1.5Fin', 'HouseStyle_1.5Unf', 'HouseStyle_1Story', 'HouseStyle_2.5Fin', 'HouseStyle_2.5Unf', 'HouseStyle_2Story', 'HouseStyle_SFoyer', 'HouseStyle_SLvl', 'SaleType_COD', 'SaleType_CWD', 'SaleType_Con', 'SaleType_ConLD', 'SaleType_ConLI', 'SaleType_ConLw', 'SaleType_New', 'SaleType_Oth', 'SaleType_WD', 'SaleCondition_Abnorml', 'SaleCondition_AdjLand', 'SaleCondition_Alloca', 'SaleCondition_Family', 'SaleCondition_Normal', 'SaleCondition_Partial']",Linear Regression,1.0
5,"['OverallQual', 'GarageCars', 'Neighborhood', 'HasPorch', 'HasDeck', 'SalePrice', 'TotalArea_scaled', 'PropertyAge_scaled', 'Neighborhood_1', 'Neighborhood_2', 'Neighborhood_3', 'Neighborhood_4', 'Neighborhood_5', 'Neighborhood_6', 'Neighborhood_7', 'Neighborhood_8', 'Neighborhood_9', 'Neighborhood_10', 'Neighborhood_11', 'Neighborhood_12', 'Neighborhood_13', 'Neighborhood_14', 'Neighborhood_15', 'Neighborhood_16', 'Neighborhood_17', 'Neighborhood_18', 'Neighborhood_19', 'Neighborhood_20', 'Neighborhood_21', 'Neighborhood_22', 'Neighborhood_23', 'Neighborhood_24', 'Neighborhood_25', 'MSSubClass_20', 'MSSubClass_30', 'MSSubClass_40', 'MSSubClass_45', 'MSSubClass_50', 'MSSubClass_60', 'MSSubClass_70', 'MSSubClass_75', 'MSSubClass_80', 'MSSubClass_85', 'MSSubClass_90', 'MSSubClass_120', 'MSSubClass_160', 'MSSubClass_180', 'MSSubClass_190', 'MSZoning_C (all)', 'MSZoning_FV', 'MSZoning_RH', 'MSZoning_RL', 'MSZoning_RM', 'Neighborhood_1.1', 'Neighborhood_2.1', 'Neighborhood_3.1', 'Neighborhood_4.1', 'Neighborhood_5.1', 'Neighborhood_6.1', 'Neighborhood_7.1', 'Neighborhood_8.1', 'Neighborhood_9.1', 'Neighborhood_10.1', 'Neighborhood_11.1', 'Neighborhood_12.1', 'Neighborhood_13.1', 'Neighborhood_14.1', 'Neighborhood_15.1', 'Neighborhood_16.1', 'Neighborhood_17.1', 'Neighborhood_18.1', 'Neighborhood_19.1', 'Neighborhood_20.1', 'Neighborhood_21.1', 'Neighborhood_22.1', 'Neighborhood_23.1', 'Neighborhood_24.1', 'Neighborhood_25.1', 'MSSubClass_20.1', 'MSSubClass_30.1', 'MSSubClass_40.1', 'MSSubClass_45.1', 'MSSubClass_50.1', 'MSSubClass_60.1', 'MSSubClass_70.1', 'MSSubClass_75.1', 'MSSubClass_80.1', 'MSSubClass_85.1', 'MSSubClass_90.1', 'MSSubClass_120.1', 'MSSubClass_160.1', 'MSSubClass_180.1', 'MSSubClass_190.1', 'MSZoning_C (all).1', 'MSZoning_FV.1', 'MSZoning_RH.1', 'MSZoning_RL.1', 'MSZoning_RM.1', 'Neighborhood_1.2', 'Neighborhood_2.2', 'Neighborhood_3.2', 'Neighborhood_4.2', 'Neighborhood_5.2', 'Neighborhood_6.2', 'Neighborhood_7.2', 'Neighborhood_8.2', 'Neighborhood_9.2', 'Neighborhood_10.2', 'Neighborhood_11.2', 'Neighborhood_12.2', 'Neighborhood_13.2', 'Neighborhood_14.2', 'Neighborhood_15.2', 'Neighborhood_16.2', 'Neighborhood_17.2', 'Neighborhood_18.2', 'Neighborhood_19.2', 'Neighborhood_20.2', 'Neighborhood_21.2', 'Neighborhood_22.2', 'Neighborhood_23.2', 'Neighborhood_24.2', 'Neighborhood_25.2', 'LotConfig_Corner', 'LotConfig_CulDSac', 'LotConfig_FR2', 'LotConfig_FR3', 'LotConfig_Inside', 'HouseStyle_1.5Fin', 'HouseStyle_1.5Unf', 'HouseStyle_1Story', 'HouseStyle_2.5Fin', 'HouseStyle_2.5Unf', 'HouseStyle_2Story', 'HouseStyle_SFoyer', 'HouseStyle_SLvl', 'SaleType_COD', 'SaleType_CWD', 'SaleType_Con', 'SaleType_ConLD', 'SaleType_ConLI', 'SaleType_ConLw', 'SaleType_New', 'SaleType_Oth', 'SaleType_WD', 'SaleCondition_Abnorml', 'SaleCondition_AdjLand', 'SaleCondition_Alloca', 'SaleCondition_Family', 'SaleCondition_Normal', 'SaleCondition_Partial']",Lasso Regressor,1.0
5,"['OverallQual', 'GarageCars', 'Neighborhood', 'HasPorch', 'HasDeck', 'SalePrice', 'TotalArea_scaled', 'PropertyAge_scaled', 'Neighborhood_1', 'Neighborhood_2', 'Neighborhood_3', 'Neighborhood_4', 'Neighborhood_5', 'Neighborhood_6', 'Neighborhood_7', 'Neighborhood_8', 'Neighborhood_9', 'Neighborhood_10', 'Neighborhood_11', 'Neighborhood_12', 'Neighborhood_13', 'Neighborhood_14', 'Neighborhood_15', 'Neighborhood_16', 'Neighborhood_17', 'Neighborhood_18', 'Neighborhood_19', 'Neighborhood_20', 'Neighborhood_21', 'Neighborhood_22', 'Neighborhood_23', 'Neighborhood_24', 'Neighborhood_25', 'MSSubClass_20', 'MSSubClass_30', 'MSSubClass_40', 'MSSubClass_45', 'MSSubClass_50', 'MSSubClass_60', 'MSSubClass_70', 'MSSubClass_75', 'MSSubClass_80', 'MSSubClass_85', 'MSSubClass_90', 'MSSubClass_120', 'MSSubClass_160', 'MSSubClass_180', 'MSSubClass_190', 'MSZoning_C (all)', 'MSZoning_FV', 'MSZoning_RH', 'MSZoning_RL', 'MSZoning_RM', 'Neighborhood_1.1', 'Neighborhood_2.1', 'Neighborhood_3.1', 'Neighborhood_4.1', 'Neighborhood_5.1', 'Neighborhood_6.1', 'Neighborhood_7.1', 'Neighborhood_8.1', 'Neighborhood_9.1', 'Neighborhood_10.1', 'Neighborhood_11.1', 'Neighborhood_12.1', 'Neighborhood_13.1', 'Neighborhood_14.1', 'Neighborhood_15.1', 'Neighborhood_16.1', 'Neighborhood_17.1', 'Neighborhood_18.1', 'Neighborhood_19.1', 'Neighborhood_20.1', 'Neighborhood_21.1', 'Neighborhood_22.1', 'Neighborhood_23.1', 'Neighborhood_24.1', 'Neighborhood_25.1', 'MSSubClass_20.1', 'MSSubClass_30.1', 'MSSubClass_40.1', 'MSSubClass_45.1', 'MSSubClass_50.1', 'MSSubClass_60.1', 'MSSubClass_70.1', 'MSSubClass_75.1', 'MSSubClass_80.1', 'MSSubClass_85.1', 'MSSubClass_90.1', 'MSSubClass_120.1', 'MSSubClass_160.1', 'MSSubClass_180.1', 'MSSubClass_190.1', 'MSZoning_C (all).1', 'MSZoning_FV.1', 'MSZoning_RH.1', 'MSZoning_RL.1', 'MSZoning_RM.1', 'Neighborhood_1.2', 'Neighborhood_2.2', 'Neighborhood_3.2', 'Neighborhood_4.2', 'Neighborhood_5.2', 'Neighborhood_6.2', 'Neighborhood_7.2', 'Neighborhood_8.2', 'Neighborhood_9.2', 'Neighborhood_10.2', 'Neighborhood_11.2', 'Neighborhood_12.2', 'Neighborhood_13.2', 'Neighborhood_14.2', 'Neighborhood_15.2', 'Neighborhood_16.2', 'Neighborhood_17.2', 'Neighborhood_18.2', 'Neighborhood_19.2', 'Neighborhood_20.2', 'Neighborhood_21.2', 'Neighborhood_22.2', 'Neighborhood_23.2', 'Neighborhood_24.2', 'Neighborhood_25.2', 'LotConfig_Corner', 'LotConfig_CulDSac', 'LotConfig_FR2', 'LotConfig_FR3', 'LotConfig_Inside', 'HouseStyle_1.5Fin', 'HouseStyle_1.5Unf', 'HouseStyle_1Story', 'HouseStyle_2.5Fin', 'HouseStyle_2.5Unf', 'HouseStyle_2Story', 'HouseStyle_SFoyer', 'HouseStyle_SLvl', 'SaleType_COD', 'SaleType_CWD', 'SaleType_Con', 'SaleType_ConLD', 'SaleType_ConLI', 'SaleType_ConLw', 'SaleType_New', 'SaleType_Oth', 'SaleType_WD', 'SaleCondition_Abnorml', 'SaleCondition_AdjLand', 'SaleCondition_Alloca', 'SaleCondition_Family', 'SaleCondition_Normal', 'SaleCondition_Partial']",Ridge Regression,1.0
5,"['OverallQual', 'GarageCars', 'Neighborhood', 'HasPorch', 'HasDeck', 'SalePrice', 'TotalArea_scaled', 'PropertyAge_scaled', 'Neighborhood_1', 'Neighborhood_2', 'Neighborhood_3', 'Neighborhood_4', 'Neighborhood_5', 'Neighborhood_6', 'Neighborhood_7', 'Neighborhood_8', 'Neighborhood_9', 'Neighborhood_10', 'Neighborhood_11', 'Neighborhood_12', 'Neighborhood_13', 'Neighborhood_14', 'Neighborhood_15', 'Neighborhood_16', 'Neighborhood_17', 'Neighborhood_18', 'Neighborhood_19', 'Neighborhood_20', 'Neighborhood_21', 'Neighborhood_22', 'Neighborhood_23', 'Neighborhood_24', 'Neighborhood_25', 'MSSubClass_20', 'MSSubClass_30', 'MSSubClass_40', 'MSSubClass_45', 'MSSubClass_50', 'MSSubClass_60', 'MSSubClass_70', 'MSSubClass_75', 'MSSubClass_80', 'MSSubClass_85', 'MSSubClass_90', 'MSSubClass_120', 'MSSubClass_160', 'MSSubClass_180', 'MSSubClass_190', 'MSZoning_C (all)', 'MSZoning_FV', 'MSZoning_RH', 'MSZoning_RL', 'MSZoning_RM', 'Neighborhood_1.1', 'Neighborhood_2.1', 'Neighborhood_3.1', 'Neighborhood_4.1', 'Neighborhood_5.1', 'Neighborhood_6.1', 'Neighborhood_7.1', 'Neighborhood_8.1', 'Neighborhood_9.1', 'Neighborhood_10.1', 'Neighborhood_11.1', 'Neighborhood_12.1', 'Neighborhood_13.1', 'Neighborhood_14.1', 'Neighborhood_15.1', 'Neighborhood_16.1', 'Neighborhood_17.1', 'Neighborhood_18.1', 'Neighborhood_19.1', 'Neighborhood_20.1', 'Neighborhood_21.1', 'Neighborhood_22.1', 'Neighborhood_23.1', 'Neighborhood_24.1', 'Neighborhood_25.1', 'MSSubClass_20.1', 'MSSubClass_30.1', 'MSSubClass_40.1', 'MSSubClass_45.1', 'MSSubClass_50.1', 'MSSubClass_60.1', 'MSSubClass_70.1', 'MSSubClass_75.1', 'MSSubClass_80.1', 'MSSubClass_85.1', 'MSSubClass_90.1', 'MSSubClass_120.1', 'MSSubClass_160.1', 'MSSubClass_180.1', 'MSSubClass_190.1', 'MSZoning_C (all).1', 'MSZoning_FV.1', 'MSZoning_RH.1', 'MSZoning_RL.1', 'MSZoning_RM.1', 'Neighborhood_1.2', 'Neighborhood_2.2', 'Neighborhood_3.2', 'Neighborhood_4.2', 'Neighborhood_5.2', 'Neighborhood_6.2', 'Neighborhood_7.2', 'Neighborhood_8.2', 'Neighborhood_9.2', 'Neighborhood_10.2', 'Neighborhood_11.2', 'Neighborhood_12.2', 'Neighborhood_13.2', 'Neighborhood_14.2', 'Neighborhood_15.2', 'Neighborhood_16.2', 'Neighborhood_17.2', 'Neighborhood_18.2', 'Neighborhood_19.2', 'Neighborhood_20.2', 'Neighborhood_21.2', 'Neighborhood_22.2', 'Neighborhood_23.2', 'Neighborhood_24.2', 'Neighborhood_25.2', 'LotConfig_Corner', 'LotConfig_CulDSac', 'LotConfig_FR2', 'LotConfig_FR3', 'LotConfig_Inside', 'HouseStyle_1.5Fin', 'HouseStyle_1.5Unf', 'HouseStyle_1Story', 'HouseStyle_2.5Fin', 'HouseStyle_2.5Unf', 'HouseStyle_2Story', 'HouseStyle_SFoyer', 'HouseStyle_SLvl', 'SaleType_COD', 'SaleType_CWD', 'SaleType_Con', 'SaleType_ConLD', 'SaleType_ConLI', 'SaleType_ConLw', 'SaleType_New', 'SaleType_Oth', 'SaleType_WD', 'SaleCondition_Abnorml', 'SaleCondition_AdjLand', 'SaleCondition_Alloca', 'SaleCondition_Family', 'SaleCondition_Normal', 'SaleCondition_Partial']",Random Forest Regressor,0.9989
